id,date,price,property_id,type,propertytype,street,streetnumber,suburb,flatnumber,postcode,state,bedrooms,bathrooms,carspaces,latitude,longitude,property_id-2,geom,area,streettype
890929,11-11-2000,240000,4947425,sold,House,JAGORA,99,ALBANY CREEK,,4035,QLD,5,3,2,-27.36576445,152.963086,4947425,0101000020E6100000B442CB99D11E634018CA2EBDA25D3BC0,1001,DR
890930,15-06-2022,875000,4947429,sold,House,JAMBAROO,8,ALBANY CREEK,,4035,QLD,3,1,1,-27.35600769,152.9750081,4947429,0101000020E610000081973A44331F6340ACACE951235B3BC0,776,ST
890931,10-08-2003,299000,4947429,sold,House,JAMBAROO,8,ALBANY CREEK,,4035,QLD,3,1,1,-27.35600769,152.9750081,4947429,0101000020E610000081973A44331F6340ACACE951235B3BC0,776,ST
890932,18-10-2023,861000,4947430,sold,House,COLORADO,18,ALBANY CREEK,,4035,QLD,3,1,3,-27.34481385,152.9785462,4947430,0101000020E610000001D41E40501F634036F570B845583BC0,795,CR
890933,17-05-2022,820000,4947430,sold,House,COLORADO,18,ALBANY CREEK,,4035,QLD,3,1,3,-27.34481385,152.9785462,4947430,0101000020E610000001D41E40501F634036F570B845583BC0,795,CR
890934,02-06-1995,125000,4947430,sold,House,COLORADO,18,ALBANY CREEK,,4035,QLD,3,1,3,-27.34481385,152.9785462,4947430,0101000020E610000001D41E40501F634036F570B845583BC0,795,CR
890935,08-05-2018,390000,4947438,sold,House,BOWEN,32,ALBANY CREEK,,4035,QLD,3,2,1,-27.34496621,152.9705666,4947438,0101000020E6100000B5979FE10E1F6340D12C9EB44F583BC0,772,AV
890936,19-07-2019,535000,4947439,sold,House,BOWEN,34,ALBANY CREEK,,4035,QLD,4,3,2,-27.34506266,152.9706146,4947439,0101000020E6100000B2A83E460F1F634051C5C70656583BC0,749,AV
890937,04-12-2011,392500,4947439,sold,House,BOWEN,34,ALBANY CREEK,,4035,QLD,4,3,2,-27.34506266,152.9706146,4947439,0101000020E6100000B2A83E460F1F634051C5C70656583BC0,749,AV
890938,07-12-2003,275000,4947439,sold,House,BOWEN,34,ALBANY CREEK,,4035,QLD,4,3,2,-27.34506266,152.9706146,4947439,0101000020E6100000B2A83E460F1F634051C5C70656583BC0,749,AV
890939,07-12-2002,155000,4947439,sold,House,BOWEN,34,ALBANY CREEK,,4035,QLD,4,3,2,-27.34506266,152.9706146,4947439,0101000020E6100000B2A83E460F1F634051C5C70656583BC0,749,AV
